parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,status
,climate-scenario-historical,"History (- 2014)","History (before 2014). See Shared Socioeconomic Pathways in the IPCC Sixth Assessment Report"" (https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/).""",,,,,,user;admin,Approved
,climate-scenario-SSP1-19,"SSP1-1.9","SSP1-1.9 -  very low GHG emissions: CO2 emissions cut to net zero around 2050. See Shared Socioeconomic Pathways in the IPCC Sixth Assessment Report"" (https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/).""",,,,,,user;admin,Approved
,climate-scenario-SSP1-26,"SSP1-2.6","SSP1-2.6 - low GHG emissions: CO2 emissions cut to net zero around 2075. See Shared Socioeconomic Pathways in the IPCC Sixth Assessment Report"" (https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/).""",,,,,,user;admin,Approved
,climate-scenario-SSP2-45,"SSP2-4.5","SSP2-4.5 - intermediate GHG emissions: CO2 emissions around current levels until 2050, then falling but not reaching net zero by 2100. See Shared Socioeconomic Pathways in the IPCC Sixth Assessment Report"" (https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/).""",,,,,,user;admin,Approved
,climate-scenario-SSP3-70,"SSP3-7.0","SSP3-7.0 - high GHG emissions: CO2 emissions double by 2100. See Shared Socioeconomic Pathways in the IPCC Sixth Assessment Report"" (https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/).""",,,,,,user;admin,Approved
,climate-scenario-SSP5-85,"SSP5-8.5","SSP5-8.5 - very high GHG emissions: CO2 emissions triple by 2075. See Shared Socioeconomic Pathways in the IPCC Sixth Assessment Report"" (https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/).""",,,,,,user;admin,Approved
,climate-scenario-RCP26,"RCP2.6","RCP2.6 - Peak in radiative forcing at ~ 3 W/m2 before 2100 and decline. See REPRESENTATIVE CONCENTRATION PATHWAYS (RCPs)"" (https://sedac.ciesin.columbia.edu/ddc/ar5_scenario_process/RCPs.html)""",,,,,,user;admin,Approved
,climate-scenario-RCP45,"RCP4.5","RCP4.5 - Stabilization without overshoot pathway to 4.5 W/m2 at stabilization after 2100. See REPRESENTATIVE CONCENTRATION PATHWAYS (RCPs)"" (https://sedac.ciesin.columbia.edu/ddc/ar5_scenario_process/RCPs.html)""",,,,,,user;admin,Approved
,climate-scenario-RCP6,"RCP6","RCP6 - Stabilization without overshoot pathway to 6 W/m2 at stabilization after 2100. See REPRESENTATIVE CONCENTRATION PATHWAYS (RCPs)"" (https://sedac.ciesin.columbia.edu/ddc/ar5_scenario_process/RCPs.html)""",,,,,,user;admin,Approved
,climate-scenario-RCP85,"RCP8.5","RCP8.5 - Rising radiative forcing pathway leading to 8.5 W/m2 in 2100. See REPRESENTATIVE CONCENTRATION PATHWAYS (RCPs)"" (https://sedac.ciesin.columbia.edu/ddc/ar5_scenario_process/RCPs.html)""",,,,,,user;admin,Approved
